"","size","NA_pc","BHit_pc","BHit","BH_ali","BH_id","NA_pc_","Taxo_pc","Taxo","Taxo_ali","Taxo_id","Taxo_level","species","genus","family","order","class","phylum","superkingdom","size_annot","gp"
"msp_1586",560,28.9,21.8,"Clostridium sp. CAG:167",78.6,78.4,28.9,69.3,"Clostridiales",68.6,78.9,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",560,"msp_1586"
"msp_1587",1046,53.6,0.6,"Eubacteriaceae bacterium CHKCI005 CHKC5",39.3,81.5,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1035,"msp_1587"
"msp_1588",775,15,29.7,"Oscillibacter sp. CAG:155",81.2,81.2,15,63.4,"Oscillibacter",80.9,80.4,"genus","unclassified Oscillibacter","Oscillibacter","Oscillospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",535,"msp_1588"
"msp_1589",607,93,1.3,"Lactococcus lactis Olga-2",22,97.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",603,"msp_1589"
"msp_1590c",530,0,100,"Holdemania sp. Marseille-P2844",99.9,99.4,0,100,"Holdemania sp. Marseille-P2844",99.9,99.4,"species","Holdemania sp. Marseille-P2844","Holdemania","Erysipelotrichaceae","Erysipelotrichales","Erysipelotrichia","Firmicutes","Bacteria",530,"msp_1590c"
"msp_1591",591,61.3,1.4,"Catabacter sp. UBA779",37.6,75.5,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",589,"msp_1591"
"msp_1592",568,41.2,1.6,"Christensenellaceae bacterium Phil10",41.3,81.1,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",568,"msp_1592"
"msp_1594",530,31.4,16.7,"Acholeplasma sp. CAG:878",76.8,78.5,31.4,51.5,"Clostridiales",63.9,78.7,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",526,"msp_1594"
"msp_1595",604,7.2,58.6,"Clostridium sp. CAG:389",93.9,85.3,7.2,58.6,"Clostridium sp. CAG:389",93.9,85.3,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",568,"msp_1595"
"msp_1596",569,5.2,86.9,"Libanicoccus massiliensis Marseille-P3237",95.4,88,5.2,86.9,"Libanicoccus massiliensis",95.4,88,"genus","unclassified Libanicoccus","Libanicoccus","Atopobiaceae","Coriobacteriales","Coriobacteriia","Actinobacteria","Bacteria",329,"msp_1596"
"msp_1597",627,21.2,52.4,"Clostridium sp. CAG:628",85.5,79.2,21.2,52.4,"Clostridium sp. CAG:628",85.5,79.2,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",618,"msp_1597"
"msp_1598",903,49.1,16.3,"Acidiphilium sp. CAG:727",63.2,77.6,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",894,"msp_1598"
"msp_1599",520,0,98.7,"Streptococcus sp. I-P16",99.5,97.3,0,98.7,"Streptococcus sp. I-P16",99.5,97.3,"species","Streptococcus sp. I-P16","Streptococcus","Streptococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",468,"msp_1599"
"msp_1600",1905,3,87.6,"Porphyromonas asaccharolytica PR426713P-I",97.5,90.7,3,89.2,"Porphyromonas asaccharolytica",97.7,90.9,"genus","unclassified Porphyromonas","Porphyromonas","Porphyromonadaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1436,"msp_1600"
"msp_1601",1210,3.4,62.8,"uncultured Clostridium sp. 2789STDY5834954",96.6,85.1,3.4,64.7,"Clostridium saudiense",96.8,85.2,"genus","unclassified Clostridium","Clostridium","Clostridiaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1210,"msp_1601"
"msp_1603c",997,0.5,96.1,"Atopobium parvulum DNF00906",99.3,95,0.5,96.1,"Atopobium parvulum 2",99.3,95,"species","Atopobium parvulum 2","Atopobium","Atopobiaceae","Coriobacteriales","Coriobacteriia","Actinobacteria","Bacteria",642,"msp_1603c"
"msp_1604",593,13.1,19,"Lachnospiraceae bacterium 2_1_46FAA",83.4,79.1,13.1,77.4,"Lachnospiraceae",75.6,79,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",579,"msp_1604"
"msp_1605",493,23.3,12.2,"Firmicutes bacterium CAG:103",81.9,78.7,23.3,62.1,"Clostridiales",66.8,79.1,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",451,"msp_1605"
"msp_1606c",499,0,97.2,"Olsenella sp. KH3B4",99.6,96.6,0,97.2,"Olsenella sp. KH3B4",99.6,96.6,"species","Olsenella sp. KH3B4","Olsenella","Atopobiaceae","Coriobacteriales","Coriobacteriia","Actinobacteria","Bacteria",499,"msp_1606c"
"msp_1607c",829,2.5,78.8,"Olsenella sp. KH3B4",98.3,92.6,2.5,78.8,"Olsenella sp. KH3B4",98.3,92.6,"genus","unclassified Olsenella","Olsenella","Atopobiaceae","Coriobacteriales","Coriobacteriia","Actinobacteria","Bacteria",829,"msp_1607c"
"msp_1608c",499,0,100,"uncultured Clostridium sp. 2789STDY5608831",99.8,98.7,0,100,"Clostridium sp. 2789STDY5608831",99.8,98.7,"species","Clostridium sp. 2789STDY5608831","Clostridium","Clostridiaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",499,"msp_1608c"
"msp_1609c",500,45.2,5.4,"Flavonifractor sp. An92",66.5,82.7,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",500,"msp_1609c"
"msp_1610",677,66.1,0.9,"Christensenellaceae bacterium Phil7",99.4,83.3,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",552,"msp_1610"
"msp_1611",445,43.4,2.5,"Ruminococcaceae bacterium UBA866",65.2,74.6,43.4,52.2,"Firmicutes",45.2,78.5,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",435,"msp_1611"
"msp_1612",571,13.7,42,"Clostridium sp. CAG:508",83.5,81.5,13.7,77.7,"unclassified Clostridiales",77.9,80.7,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",488,"msp_1612"
"msp_1613",1739,17.9,32.5,"Anaerovibrio sp. JC8",77.1,78.8,17.9,64,"Selenomonadaceae",69,78.2,"family","unclassified Selenomonadaceae","unclassified Selenomonadaceae","Selenomonadaceae","Selenomonadales","Negativicutes","Firmicutes","Bacteria",1739,"msp_1613"
"msp_1614",502,25.5,17,"Roseburia sp. CAG:45",78.6,79.8,25.5,67.9,"Lachnospiraceae",68.6,78.8,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",495,"msp_1614"
"msp_1616",641,39.3,17,"Acidiphilium sp. CAG:727",47.3,76.8,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",641,"msp_1616"
"msp_1617",1373,9.2,28.8,"Lachnospiraceae bacterium 1_4_56FAA",84.7,80.1,9.2,82.9,"Lachnospiraceae",75.2,78.9,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1373,"msp_1617"
"msp_1618",509,1.6,90.9,"Alistipes sp. An116",99,99,1.6,95.9,"Alistipes sp. An54 & An116",99.4,99.1,"species","Alistipes sp. An54 & An116","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",441,"msp_1618"
"msp_1621",642,45.5,1.7,"Massilimaliae massiliensis Marseille-P2963",64.7,88.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",633,"msp_1621"
"msp_1622",450,0.4,96.8,"uncultured Clostridium sp. 2789STDY5608793",99.9,98.8,0.4,96.8,"Clostridium sp. 2789STDY5608793",99.9,98.8,"species","Clostridium sp. 2789STDY5608793","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",282,"msp_1622"
"msp_1623",461,81.2,2.2,"Odoribacter laneus CAG:561",99.4,100,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",416,"msp_1623"
"msp_1624",567,0.3,91.2,"Blautia hansenii DSM 20583",98.3,90.7,0.3,91.5,"Blautia hansenii",98.4,90.8,"genus","unclassified Blautia","Blautia","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",375,"msp_1624"
"msp_1625",522,32.4,24.9,"Firmicutes bacterium CAG:313",75.4,78.6,32.4,62.8,"Firmicutes",60.9,79.1,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",519,"msp_1625"
"msp_1626",1397,20.3,26.2,"Firmicutes bacterium CAG:176_63_11",82,81.4,20.3,55.8,"unclassified Firmicutes",79.3,80.8,"genus","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1250,"msp_1626"
"msp_1627",469,12.8,45.9,"Arabia massiliensis Marseille-P3078",85.1,81.8,12.8,60.6,"Gordonibacter",85,81.6,"genus","unclassified Gordonibacter","Gordonibacter","Eggerthellaceae","Eggerthellales","Coriobacteriia","Actinobacteria","Bacteria",444,"msp_1627"
"msp_1628",800,0.7,98,"Lachnoclostridium sp. An118",99.3,98.9,0.7,98,"Lachnoclostridium sp. An118",99.3,98.9,"species","Lachnoclostridium sp. An118","Lachnoclostridium","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",603,"msp_1628"
"msp_1629",488,47.7,3.8,"Oscillospiraceae bacterium Zagget12",59.1,78,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",480,"msp_1629"
"msp_1631",679,0,100,"Oxalobacter formigenes HOxBLS",100,100,0,100,"Oxalobacter formigenes 2",100,100,"species","Oxalobacter formigenes 2","Oxalobacter","Oxalobacteraceae","Burkholderiales","Betaproteobacteria","Proteobacteria","Bacteria",645,"msp_1631"
"msp_1632",627,37.9,25.2,"Odoribacter splanchnicus An45",83.4,78.7,37.9,58,"Bacteroidales",72.6,78.5,"order","unclassified Bacteroidales","unclassified Bacteroidales","unclassified Bacteroidales","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",626,"msp_1632"
"msp_1633",543,52.7,2.8,"Catabacter sp. UBA779",32.6,73.9,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",543,"msp_1633"
"msp_1634",1160,1.9,96.7,"Slackia piriformis YIT 12062",99.7,98.1,1.9,96.7,"Slackia piriformis",99.7,98.1,"species","Slackia piriformis","Slackia","Eggerthellaceae","Eggerthellales","Coriobacteriia","Actinobacteria","Bacteria",1060,"msp_1634"
"msp_1635",588,91.9,2.1,"Prevotella sp. CAG:1092",17.1,77.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",577,"msp_1635"
"msp_1636",1902,10.2,45.3,"Prevotella sp. CAG:1124",84.1,79.8,10.3,81.5,"Prevotella",78.5,79.1,"genus","unclassified Prevotella","Prevotella","Prevotellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1333,"msp_1636"
"msp_1637",2375,18,44.1,"Clostridium sp. CAG:1013",84.2,80.8,18,50.3,"unclassified Clostridiales",79.1,80.6,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",2340,"msp_1637"
"msp_1638",730,16.6,23.1,"Firmicutes bacterium CAG:176_63_11",75.2,81.1,16.6,55.4,"unclassified Firmicutes",75.7,81,"genus","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",614,"msp_1638"
"msp_1639",1951,0.6,98.5,"Desulfovibrio sp. An276",99.1,98.5,0.6,98.5,"Desulfovibrio sp. An276",99.1,98.5,"species","Desulfovibrio sp. An276","Desulfovibrio","Desulfovibrionaceae","Desulfovibrionales","Deltaproteobacteria","Proteobacteria","Bacteria",1942,"msp_1639"
"msp_1640",1299,0.2,99.8,"Alistipes sp. CAG:831",98.8,99.2,0.2,99.8,"Alistipes sp. CAG:831",98.8,99.2,"species","Alistipes sp. CAG:831","Alistipes","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",623,"msp_1640"
"msp_1641",665,6.2,22.2,"Lachnoclostridium sp. An196",79.7,78,6.2,81.3,"Lachnospiraceae",70.2,78.2,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",641,"msp_1641"
"msp_1643c",421,0,100,"Ruminococcus sp. JC304",99.7,97.8,0,100,"Ruminococcus sp. JC304",99.7,97.8,"species","Ruminococcus sp. JC304","Ruminococcus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",421,"msp_1643c"
"msp_1644",1301,44.2,2.7,"Ruminococcaceae bacterium UBA737",55.6,77.1,44.2,50,"Clostridia",49.7,79.4,"class","unclassified Clostridia","unclassified Clostridia","unclassified Clostridia","unclassified Clostridia","Clostridia","Firmicutes","Bacteria",1301,"msp_1644"
"msp_1646",756,28.6,44.4,"Alphaproteobacteria bacterium UBA756",87.7,80.4,28.6,56.1,"unclassified Alphaproteobacteria",86.2,80.5,"genus","unclassified Alphaproteobacteria","unclassified Alphaproteobacteria","unclassified Alphaproteobacteria","unclassified Alphaproteobacteria","Alphaproteobacteria","Proteobacteria","Bacteria",756,"msp_1646"
"msp_1647",633,5.9,47.5,"Coprobacillus sp. CAG:235",88.2,81.4,5.9,55.9,"bacterium LF-3 / Coprobacillus sp. CAG:235",88.8,81.3,"genus","unclassified Coprobacillus","Coprobacillus","Erysipelotrichaceae","Erysipelotrichales","Erysipelotrichia","Firmicutes","Bacteria",589,"msp_1647"
"msp_1648",1208,0.4,96.9,"Peptoniphilus senegalensis JC140",99.5,97.5,0.4,96.9,"Peptoniphilus senegalensis",99.5,97.5,"species","Peptoniphilus senegalensis","Peptoniphilus","Peptoniphilaceae","Tissierellales","Tissierellia","Firmicutes","Bacteria",1059,"msp_1648"
"msp_1649",416,42.9,1.5,"[Clostridium] leptum DSM 753",77.3,76.9,42.9,54.2,"Firmicutes",49.2,78.2,"phylum","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",406,"msp_1649"
"msp_1650",427,85.2,1,"[Eubacterium] rectale M104/1",74,86.3,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",411,"msp_1650"
"msp_1652",1614,8.6,37.7,"uncultured Flavonifractor sp. 2789STDY5834940",89.3,82.3,8.6,57.9,"Intestinimonas",89.9,82.4,"genus","unclassified Intestinimonas","Intestinimonas","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1399,"msp_1652"
"msp_1653",447,84.6,0.7,"Anaerostipes hadrus PEL 85",26,81.3,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",447,"msp_1653"
"msp_1654",605,27.1,11.2,"Clostridiales bacterium Firm_10",75.5,78.2,27.1,54,"Clostridiales",58.4,78.4,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",543,"msp_1654"
"msp_1655c",414,0,95.4,"Desulfovibrio desulfuricans DSM 7057",98.7,99.6,0,99.5,"Desulfovibrio desulfuricans",99.8,99.7,"species","Desulfovibrio desulfuricans","Desulfovibrio","Desulfovibrionaceae","Desulfovibrionales","Deltaproteobacteria","Proteobacteria","Bacteria",414,"msp_1655c"
"msp_1656",1467,19.8,10.3,"Coprococcus sp. HPP0048",79.3,80.1,19.8,63.5,"Lachnospiraceae",73.1,79.2,"family","unclassified Lachnospiraceae","unclassified Lachnospiraceae","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1452,"msp_1656"
"msp_1657",600,9.3,70.1,"Clostridium sp. 26_22",94.1,85.3,9.3,70.1,"Clostridium sp. 26_22",94.1,85.3,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",492,"msp_1657"
"msp_1658",416,87,0.7,"Clostridium aceticum DSM 1496",30.7,74.1,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",416,"msp_1658"
"msp_1659c",414,54.3,2.2,"Ruminococcus sp. CAG:724",83.6,81.8,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",414,"msp_1659c"
"msp_1660",408,90.1,1.1,"marine metagenome",14,78.8,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",372,"msp_1660"
"msp_1661",1020,5.8,87.1,"Clostridium sp. CAG:307",95.7,82.9,5.8,87.1,"Clostridium sp. CAG:307",95.7,82.9,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",972,"msp_1661"
"msp_1662",1706,11.7,52.9,"Eubacterium sp. CAG:192",82.6,81.4,11.7,52.9,"Eubacterium sp. CAG:192",82.6,81.4,"genus","unclassified Eubacterium","Eubacterium","Eubacteriaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1389,"msp_1662"
"msp_1663",527,49.3,4.9,"Catabacter sp. UBA779",29,76,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",515,"msp_1663"
"msp_1664",355,47.3,2,"Clostridium sp. CAG:413",59.1,76.3,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",351,"msp_1664"
"msp_1665",561,18.5,28.6,"Oscillibacter sp. CAG:241_62_21",86.6,81.5,18.5,50.2,"unclassified Firmicutes",79.2,80.5,"genus","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",496,"msp_1665"
"msp_1666",918,2.6,93.4,"Mollicutes bacterium Phil14",98.9,99.5,2.6,93.4,"Mollicutes bacterium Phil14",98.9,99.5,"species","Mollicutes bacterium Phil14","unclassified Mollicutes","unclassified Mollicutes","unclassified Mollicutes","Mollicutes","Tenericutes","Bacteria",918,"msp_1666"
"msp_1667",926,29.3,8.2,"Clostridiales bacterium Firm_10",60.7,77.7,29.3,53.1,"Clostridiales",52.1,79.1,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",917,"msp_1667"
"msp_1668",413,35.6,6.9,"Clostridium sp. CAG:557",67.3,74.6,35.6,56.2,"Clostridiales",50.9,77.5,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",379,"msp_1668"
"msp_1669",343,47.6,2.9,"Sporobacter termitidis DSM 10068",48.7,79,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",340,"msp_1669"
"msp_1670",1180,25.8,51,"Firmicutes bacterium CAG:631",83.4,78.7,25.8,51,"Firmicutes bacterium CAG:631",83.4,78.7,"genus","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","unclassified Firmicutes","Firmicutes","Bacteria",1180,"msp_1670"
"msp_1671c",384,0,99,"Neglecta timonensis SN17",99.8,99.3,0,99,"Neglecta timonensis",99.8,99.3,"species","Neglecta timonensis","Neglecta","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",384,"msp_1671c"
"msp_1672",462,52.3,3.6,"Clostridiales bacterium DTU033",65.9,79.3,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",394,"msp_1672"
"msp_1673",675,18.5,24,"Clostridium sp. CAG:58",82.2,78.9,18.5,52.4,"unclassified Clostridiales",73.1,78.2,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",674,"msp_1673"
"msp_1674",977,24.6,6.4,"Angelakisella massiliensis Marseille-P3217",71.7,80.2,24.6,67.3,"Clostridiales",56.5,79.2,"order","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",923,"msp_1674"
"msp_1675",704,25.1,45.2,"Clostridium sp. CAG:571",94.8,84.8,25.1,65.5,"unclassified Clostridiales",89,83.2,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",704,"msp_1675"
"msp_1676",809,59.6,5,"Acidiphilium sp. CAG:727",52.8,78.7,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",764,"msp_1676"
"msp_1677",2235,2.3,57.6,"uncultured Clostridium sp. 2789STDY5834954",93.8,83,2.3,60.6,"Clostridium saudiense",94.1,83.1,"genus","unclassified Clostridium","Clostridium","Clostridiaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1316,"msp_1677"
"msp_1678",383,95.8,0.5,"Blattabacterium sp. (Nauphoeta cinerea)",5.5,87.2,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",383,"msp_1678"
"msp_1679",1112,6.2,59.5,"Niameybacter massiliensis Mt14",85.4,79.3,6.2,59.5,"Niameybacter massiliensis",85.4,79.3,"genus","unclassified Niameybacter","Niameybacter","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",1101,"msp_1679"
"msp_1680",505,54.3,8.6,"Ruminococcus sp. CAG:724",56,78.5,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",501,"msp_1680"
"msp_1682c",396,0,58.5,"Clostridioides difficile VRECD0076",100,100,0,100,"Clostridioides difficile",100,99.9,"species","Clostridioides difficile","Clostridioides","Peptostreptococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",388,"msp_1682c"
"msp_1683",1290,50.3,7.2,"Firmicutes bacterium CAG:631",53.9,76.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1289,"msp_1683"
"msp_1684",765,0,88,"Eubacterium sp. SB2",99.4,98.5,0,92.1,"Faecalicatena contorta",99.5,98.6,"species","Faecalicatena contorta","Faecalicatena","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",725,"msp_1684"
"msp_1686",421,21.6,13.5,"Clostridium sp. CAG:269",74.6,77.6,21.6,55.6,"unclassified Clostridiales",67,77.7,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",421,"msp_1686"
"msp_1687",353,63.2,0.9,"Acidaminococcus sp. CAG:917",33.3,82.9,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",345,"msp_1687"
"msp_1688",344,8.3,67.6,"uncultured Ruminococcus sp. 2789STDY5834890",89.5,84.6,8.3,73.1,"Ruminococcus sp. 2789STDY5608794 & sp. 2789STDY5834890 / Firmicutes bacterium CAG:56",89.7,84.6,"genus","unclassified Ruminococcus","Ruminococcus","Ruminococcaceae","Clostridiales","Clostridia","Firmicutes","Bacteria",312,"msp_1688"
"msp_1689",553,40.3,6.2,"Anaerovorax odorimutans DSM 5092",62.3,77.9,40.3,50.1,"Clostridia",47,79,"class","unclassified Clostridia","unclassified Clostridia","unclassified Clostridia","unclassified Clostridia","Clostridia","Firmicutes","Bacteria",551,"msp_1689"
"msp_1690",1229,45.5,24.6,"Verrucomicrobia bacterium CAG:312_58_20",58.3,76.4,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",1222,"msp_1690"
"msp_1691",1236,14.1,69.7,"Phascolarctobacterium sp. CAG:266",92.1,82.8,14.1,69.7,"Phascolarctobacterium sp. CAG:266",92.1,82.8,"genus","unclassified Phascolarctobacterium","Phascolarctobacterium","Acidaminococcaceae","Acidaminococcales","Negativicutes","Firmicutes","Bacteria",1236,"msp_1691"
"msp_1692",1953,27.6,21.8,"Bacteroidales bacterium M10",73.2,79.1,27.6,58.3,"unclassified Muribaculaceae",66.5,78.3,"genus","unclassified Muribaculaceae","unclassified Muribaculaceae","Muribaculaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",1937,"msp_1692"
"msp_1693",384,47.5,4.7,"Peptococcus niger DSM 20475",69.1,77.1,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",358,"msp_1693"
"msp_1695",1338,24.1,23.4,"Clostridium sp. CAG:273",76,78.8,24.1,63.9,"unclassified Clostridiales",73.7,78.7,"genus","unclassified Clostridiales","unclassified Clostridiales","unclassified Clostridiales","Clostridiales","Clostridia","Firmicutes","Bacteria",1265,"msp_1695"
"msp_1696c",279,0,99.6,"uncultured Desulfovibrio sp. 92-2",99.8,98.9,0,99.6,"Desulfovibrio sp. 92-2",99.8,98.9,"species","Desulfovibrio sp. 92-2","Desulfovibrio","Desulfovibrionaceae","Desulfovibrionales","Deltaproteobacteria","Proteobacteria","Bacteria",279,"msp_1696c"
"msp_1697",706,0,99.1,"Enterococcus avium DSM 20679",99.7,98.9,0,99.9,"Enterococcus avium",99.9,99.3,"species","Enterococcus avium","Enterococcus","Enterococcaceae","Lactobacillales","Bacilli","Firmicutes","Bacteria",669,"msp_1697"
"msp_1698",343,1.5,95.3,"Lachnoclostridium sp. An14",99.7,98.9,1.5,95.3,"Lachnoclostridium sp. An14",99.7,98.9,"species","Lachnoclostridium sp. An14","Lachnoclostridium","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",337,"msp_1698"
"msp_1699",920,47.6,16.8,"Clostridiales bacterium UBA749",73.1,77.2,NA,NA,NA,NA,NA,NA,"unclassified","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified",370,"msp_1699"
"msp_1700",2485,5.3,82.1,"[Clostridium] innocuum NLAE-zl-C381",98,89.4,5.3,86.2,"Clostridium innocuum",98,89.7,"genus","unclassified Erysipelatoclostridium","Erysipelatoclostridium","Erysipelotrichaceae","Erysipelotrichales","Erysipelotrichia","Firmicutes","Bacteria",2301,"msp_1700"
